Fecha_Atencion,Adulto_NNA_NNAnA,Sexo,Fecha_Nacimiento,Edad,Pais_Origen,Departamento_Estado,Estado_Civil,Tipo_Poblacion,Hijos,Leer_Escribir,Grado_Estudio,Idiomas_Domina,Fecha_Salida_Pais_Origen,Viajo_Con_Alguien,Abuso_Derechos_Humanos_Antes_Mexico,Abuso_Derechos_Humanos_Al_Llegar_Mexico,Pago_Guia_Viajar,Fecha_Ingreso_Mexico,Ingreso_Mexico_Por,Destino_Final,Red_Apoyo_Mexico,Intento_Ingreso_EUA,Red_Apoyo_EUA,Estuvo_Estacion_Migratoria,Puso_Denuncia_Formal,Puede_Regresar_Pais,Tiene_Enfermedad,Padece_Alergia,Estuvo_Otro_Albergue_Mexico,Albergue_Casa_Monarca,Servicios_Brindados,Hospedado_Actualmente
2023-10-21,Niño no acompañado,Mujer,1995-08-11,20,Haití,Estado3,Viuda/Viudo,Tránsito,Si,Si,Bachillerato Técnico,Garífona,2015-02-15,No,Si,Si,Si,2015-07-22,Tapachula,México,Si,No,Si,No,Si,Si,Si,No,No,Si,Orientación legal,No
2020-09-20,Niña no acompañada,Mujer,1974-06-07,22,Benín,Estado5,Soltero/Soltera,Desplazados Internos,No,No,Primaria,Español,2019-06-29,Si,No,No,No,2017-02-08,Reynosa,Regresar a mi país de origen,Si,Si,Si,Si,Si,No,No,Si,No,Si,Orientación en la búsqueda de vivienda,No
2020-05-28,Niña acompañada,Hombre,1969-12-31,43,Bélgica,Estado2,Divorciada / Divorciado,Tránsito,No,Si,Licenciatura,Español,2021-04-01,No,No,No,No,2015-08-21,Veracruz,México,No,Si,Si,Si,No,No,No,No,No,No,Alimento,No
2020-05-20,Adolescente acompañado,Mujer,1994-07-31,34,Jordania,Estado2,Soltero/Soltera,Tránsito,Si,Si,Secundaria,Garífona,2021-10-12,Si,Si,No,No,2017-10-08,Tapachula,Regresar a mi país de origen,No,No,No,No,Si,Si,Si,No,No,Si,Agua y alimento,Si
2023-09-23,Niño no acompañado,Hombre,2002-10-29,16,Estados Unidos,Estado3,Viuda/Viudo,Tránsito,No,No,Licenciatura,Inglés,2015-10-02,Si,Si,Si,Si,2018-04-25,Chiapas,Estados Unidos,Si,Si,Si,No,Si,Si,No,Si,Si,No,Ropa y calzado,No
2023-11-01,Niño no acompañado,Mujer,1969-10-06,13,Filipinas,Estado1,Divorciada / Divorciado,MPP,Si,No,Primaria,Portuges,2018-08-17,No,No,Si,No,2021-06-01,Tabasco,Regresar a mi país de origen,Si,Si,Si,No,No,No,No,No,Si,Si,Kit de higiene,No
2022-11-04,Niña acompañada,Hombre,1976-03-01,17,Antigua y Barbuda,Estado1,Soltero/Soltera,MPP,Si,No,Primaria,Criollo Haitiano,2015-08-29,No,Si,No,No,2022-10-28,Tabasco,Regresar a mi país de origen,Si,Si,Si,Si,No,Si,Si,Si,No,Si,Canalización a servicios pricológicos,No
2020-11-08,Adolescente acompañado,Hombre,1995-10-04,29,Cabo Verde,Estado4,Union Libre,Desplazados Internos,Si,No,Licenciatura,Portuges,2016-11-14,No,Si,Si,Si,2015-11-12,Veracruz,Regresar a mi país de origen,No,Si,No,No,No,Si,No,No,Si,No,Canalización a servicios pricológicos,No
2022-05-18,Niña no acompañada,Mujer,1969-05-28,38,Jordania,Estado3,Divorciada / Divorciado,Tránsito,No,Si,Secundaria,Criollo Haitiano,2020-04-14,No,Si,No,No,2018-03-09,Matamoros,Estados Unidos,No,No,Si,No,No,No,No,Si,No,No,Orientación en el acceso a la educación,No
2020-06-07,Adulto,Hombre,1973-05-01,54,Comoras,Estado4,Casado/Casada,Retornados,Si,Si,Licenciatura,Portuges,2021-07-14,Si,No,No,No,2016-04-12,Chetumal,México,No,No,No,No,No,No,Si,Si,Si,No,Ropa y calzado,No
2020-01-07,Adolescente acompañado,Hombre,1979-09-14,55,Albania,Estado3,Soltero/Soltera,Desplazados Internos,No,Si,Licenciatura,Inglés,2017-06-30,No,Si,Si,Si,2015-12-19,Chiapas,Regresar a mi país de origen,Si,No,No,Si,Si,No,No,Si,Si,Si,Kit de higiene,No
2021-11-12,Niña acompañada,Hombre,1984-02-02,19,Estados Unidos,Estado5,Divorciada / Divorciado,Tránsito,No,No,Preescolar,Portuges,2016-12-11,Si,Si,Si,No,2021-01-26,Veracruz,Regresar a mi país de origen,Si,No,Si,Si,No,No,No,Si,Si,No,Kit de higiene,No
2023-02-17,Niño no acompañado,Hombre,1995-05-03,52,Bolivia,Estado2,Union Libre,Tránsito,Si,Si,Secundaria,Portuges,2019-11-13,Si,No,Si,Si,2021-08-16,Tabasco,Estados Unidos,Si,Si,Si,No,No,Si,Si,No,No,Si,Asesoría legal,No
2022-06-18,Niña no acompañada,Hombre,2009-11-10,43,Irak,Estado5,Divorciada / Divorciado,MPP,No,No,Preescolar,Frances,2019-05-13,Si,No,No,No,2016-06-02,Reynosa,México,Si,No,Si,No,No,No,Si,Si,Si,Si,Orientación en el acceso a la educación,No
2023-12-07,Adolescente acompañado,Hombre,1980-09-19,35,Bután,Estado3,Divorciada / Divorciado,Desplazados Internos,No,No,Bachillerato Técnico,Portuges,2021-09-17,Si,No,No,No,2020-04-04,Matamoros,Regresar a mi país de origen,Si,No,Si,Si,Si,No,No,Si,Si,Si,Canalización a servicios pricológicos,No
2022-05-02,Adulto,Mujer,2006-02-28,50,Angola,Estado2,Union Libre,Tránsito,No,Si,Sin escolarizar,Frances,2019-09-21,Si,Si,Si,Si,2022-09-09,Tabasco,Estados Unidos,No,Si,No,Si,No,Si,Si,Si,Si,No,Alimento,No
2022-02-09,Adulto,Hombre,1992-11-02,58,Irak,Estado1,Soltero/Soltera,Tránsito,No,No,Licenciatura,Español,2022-09-09,Si,No,Si,No,2021-04-09,Chetumal,México,No,Si,No,No,No,Si,Si,Si,Si,Si,Canalización a servicios pricológicos,Si
2022-06-12,Niño acompañado,Hombre,1970-06-22,12,Camerún,Estado1,Separado/Separada,Desplazados Internos,No,Si,Bachillerato Técnico,Garífona,2020-06-21,No,Si,Si,No,2016-03-10,Veracruz,México,No,Si,No,Si,Si,Si,No,No,No,No,Orientación legal,No
2022-07-09,Niño acompañado,Mujer,1980-12-01,15,Armenia,Estado4,Soltero/Soltera,Retornados,Si,No,Secundaria,Portuges,2020-01-05,Si,No,No,No,2016-03-08,Tenosoique,Regresar a mi país de origen,No,No,No,No,No,No,Si,Si,Si,No,Ropa y calzado,No
2022-06-14,Adolescente no acompañado,Mujer,1971-07-21,14,Israel,Estado3,Viuda/Viudo,Desplazados Internos,No,Si,Licenciatura,Español,2022-02-13,Si,Si,No,Si,2015-09-23,Chetumal,Regresar a mi país de origen,No,Si,No,No,No,Si,No,No,No,Si,Kit de higiene,Si
2023-02-17,Niña acompañada,Mujer,1983-04-04,14,Albania,Estado3,Union Libre,Desplazados Internos,Si,No,Sin escolarizar,Frances,2017-06-10,Si,No,No,Si,2021-07-17,Tenosoique,Regresar a mi país de origen,Si,Si,No,Si,No,No,Si,Si,No,Si,Kit de higiene,No
2020-10-04,Adolescente acompañado,Mujer,2009-04-01,56,Australia,Estado1,Soltero/Soltera,Retornados,Si,Si,Bachillerato Técnico,Portuges,2017-08-17,No,Si,Si,Si,2016-10-08,Matamoros,Regresar a mi país de origen,No,Si,No,No,Si,Si,Si,Si,Si,Si,Orientación para acceder a servicios de salud,Si
2022-03-01,Adolescente acompañado,Mujer,1971-08-28,32,Dinamarca,Estado5,Divorciada / Divorciado,Desplazados Internos,Si,Si,Preparatoria,Portuges,2022-02-22,No,Si,Si,Si,2022-03-16,Veracruz,Estados Unidos,Si,No,No,No,Si,No,No,Si,Si,Si,Acceso a higiene (Regadera),No
2023-05-30,Adolescente no acompañado,Mujer,1977-09-05,58,Bután,Estado2,Union Libre,Tránsito,Si,No,Primaria,Inglés,2022-08-02,Si,No,No,Si,2018-09-23,Tapachula,Estados Unidos,No,No,No,Si,No,Si,No,Si,No,No,Atención psicosocial,No
2023-02-27,Niño no acompañado,Mujer,1960-09-17,18,Eritrea,Estado5,Casado/Casada,Desplazados Internos,Si,No,Licenciatura,Español,2015-12-04,No,No,Si,No,2015-03-26,Chiapas,Regresar a mi país de origen,Si,No,No,No,No,No,No,Si,No,No,Alimento,No
2020-03-12,Niño no acompañado,Hombre,1962-06-01,44,Honduras,Estado5,Soltero/Soltera,Retornados,Si,Si,Sin escolarizar,Criollo Haitiano,2019-04-09,Si,Si,Si,Si,2016-04-27,Tapachula,México,Si,No,Si,Si,No,No,Si,Si,No,No,Orientación a servicios prisológicos,No
2022-12-04,Adolescente no acompañado,Hombre,1986-01-01,29,Guatemala,Estado1,Union Libre,Refugiados,No,No,Primaria,Criollo Haitiano,2021-03-22,No,No,Si,Si,2023-02-06,Tapachula,Regresar a mi país de origen,Si,No,Si,No,Si,Si,No,No,Si,No,Orientación legal,No
2020-06-21,Niño no acompañado,Mujer,1996-03-15,58,Islas Marshall,Estado1,Soltero/Soltera,Desplazados Internos,No,No,Preescolar,Inglés,2019-08-24,Si,Si,Si,Si,2019-08-08,Tabasco,México,Si,No,Si,No,Si,Si,No,No,Si,No,Kit de higiene,No
2020-02-18,Niño acompañado,Hombre,1962-06-13,51,Irak,Estado1,Union Libre,MPP,No,No,Bachillerato Técnico,Frances,2023-01-22,No,No,No,No,2017-11-21,Reynosa,México,Si,No,No,Si,Si,No,Si,Si,No,No,Orientación legal,No
2021-10-01,Adolescente acompañado,Hombre,1986-10-08,44,Argentina,Estado4,Divorciada / Divorciado,Tránsito,Si,Si,Preescolar,Criollo Haitiano,2023-09-12,No,No,Si,No,2016-09-27,Reynosa,México,Si,Si,Si,Si,Si,Si,Si,Si,No,No,Orientación legal,No
2023-07-27,Adolescente no acompañado,Hombre,1976-12-19,59,Laos,Estado5,Casado/Casada,Tránsito,No,Si,Sin escolarizar,Criollo Haitiano,2022-04-23,No,Si,No,Si,2018-05-15,Chiapas,Estados Unidos,No,Si,No,Si,Si,No,Si,Si,No,No,Ropa y calzado,No
2020-08-31,Adolescente acompañado,Mujer,1996-02-10,27,Bielorrusia,Estado3,Casado/Casada,MPP,No,No,Licenciatura,Garífona,2022-09-11,Si,No,No,No,2021-09-15,Palenque,México,Si,Si,No,Si,Si,No,No,No,Si,No,Canalización a servicios pricológicos,No
2022-01-31,Adulto,Mujer,1970-05-02,26,Guatemala,Estado2,Viuda/Viudo,MPP,No,No,Primaria,Español,2017-07-31,Si,No,Si,No,2017-01-18,Tabasco,México,Si,No,Si,Si,No,No,Si,Si,Si,Si,Agua y alimento,No
2021-11-24,Niño acompañado,Hombre,1964-03-13,33,Bulgaria,Estado4,Union Libre,Desplazados Internos,Si,Si,Primaria,Frances,2020-03-05,Si,Si,No,No,2022-01-31,Palenque,Estados Unidos,No,No,No,Si,Si,Si,Si,No,No,Si,Agua y alimento,Si
2021-04-05,Niña no acompañada,Mujer,1994-11-05,12,Etiopía,Estado3,Soltero/Soltera,MPP,No,No,Bachillerato Técnico,Portuges,2023-11-18,No,Si,No,No,2020-07-12,Tenosoique,México,Si,Si,Si,No,No,No,No,No,Si,No,Kit de higiene,No
2022-07-07,Niño acompañado,Hombre,1962-07-20,41,Arabia Saudita,Estado5,Casado/Casada,Refugiados,Si,Si,Licenciatura,Español,2019-05-28,No,No,Si,Si,2023-06-27,Tabasco,México,No,Si,No,Si,Si,No,Si,No,No,No,Orientación a servicios prisológicos,No
2020-06-30,Adolescente no acompañado,Hombre,1970-01-23,44,Hungría,Estado1,Casado/Casada,Retornados,No,No,Preparatoria,Frances,2016-05-25,Si,Si,No,Si,2018-08-22,Veracruz,Regresar a mi país de origen,No,No,No,No,No,No,Si,No,Si,Si,Ropa y calzado,No
2022-06-12,Niña no acompañada,Hombre,1991-09-25,47,Bangladés,Estado5,Separado/Separada,MPP,Si,No,Preparatoria,Criollo Haitiano,2020-11-15,No,No,No,No,2016-10-02,Palenque,México,Si,No,Si,Si,Si,No,No,No,No,Si,Agua y alimento,No
2021-05-20,Adulto,Hombre,1972-08-06,22,Kiribati,Estado2,Separado/Separada,MPP,Si,No,Bachillerato Técnico,Garífona,2019-07-23,Si,No,No,No,2017-03-04,Chiapas,México,Si,No,Si,No,No,Si,Si,Si,Si,Si,Kit de higiene,No
2020-12-04,Adolescente no acompañado,Mujer,1969-08-08,56,Andorra,Estado4,Casado/Casada,Refugiados,Si,Si,Licenciatura,Español,2022-06-22,Si,Si,No,No,2020-02-09,Chiapas,México,No,No,Si,No,No,Si,No,No,Si,No,Agua y alimento,No
2020-10-05,Niña acompañada,Mujer,1963-02-10,34,Andorra,Estado4,Union Libre,Tránsito,No,Si,Bachillerato Técnico,Criollo Haitiano,2020-08-05,Si,Si,No,No,2023-08-25,Tabasco,México,Si,No,Si,Si,No,No,No,No,Si,Si,Orientación en el acceso a la educación,No
2021-11-25,Adolescente acompañado,Mujer,1974-05-01,18,Chipre,Estado2,Viuda/Viudo,Tránsito,No,Si,Licenciatura,Frances,2022-03-19,Si,Si,No,Si,2023-01-13,Tapachula,México,No,No,Si,No,Si,Si,No,Si,Si,Si,Asesoría legal,No
2020-05-20,Adulto,Hombre,1968-01-04,13,Barbados,Estado3,Casado/Casada,Desplazados Internos,Si,Si,Sin escolarizar,Español,2015-09-15,No,Si,No,No,2017-05-31,Veracruz,Estados Unidos,Si,No,Si,No,Si,Si,No,Si,Si,Si,Acceso a higiene (Regadera),No
2020-11-25,Adolescente acompañado,Mujer,1985-12-20,23,Ecuador,Estado3,Divorciada / Divorciado,Refugiados,No,No,Sin escolarizar,Portuges,2020-12-01,No,Si,No,Si,2019-09-15,Matamoros,México,No,No,No,No,Si,No,No,No,Si,Si,Asesoría legal,Si
2023-02-14,Niño no acompañado,Hombre,2008-04-16,46,Jordania,Estado4,Soltero/Soltera,Retornados,Si,No,Preescolar,Español,2023-01-08,No,Si,Si,No,2015-05-07,Veracruz,México,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Orientación legal,Si
2020-02-29,Niña acompañada,Mujer,1966-05-25,43,Ecuador,Estado4,Viuda/Viudo,Retornados,Si,Si,Bachillerato Técnico,Criollo Haitiano,2017-09-26,Si,No,Si,Si,2021-05-01,Chiapas,Estados Unidos,Si,No,No,Si,No,Si,No,Si,No,No,Canalización a servicios pricológicos,No
2020-04-19,Niña acompañada,Hombre,1964-07-06,20,Catar,Estado1,Divorciada / Divorciado,Refugiados,No,No,Licenciatura,Español,2023-08-04,No,No,Si,No,2017-05-17,Tenosoique,Estados Unidos,No,No,No,No,No,Si,No,Si,No,Si,Orientación para acceder a servicios de salud,No
2022-12-13,Adulto,Hombre,1987-06-11,50,Chile,Estado3,Viuda/Viudo,Retornados,No,No,Preparatoria,Portuges,2023-08-02,Si,Si,No,Si,2022-12-08,Palenque,México,No,No,Si,Si,Si,Si,No,No,No,No,Asesoría legal,No
2023-05-22,Niña acompañada,Hombre,1976-12-18,12,Dinamarca,Estado2,Divorciada / Divorciado,Tránsito,No,Si,Licenciatura,Garífona,2018-09-04,Si,No,No,Si,2021-09-25,Palenque,México,No,Si,No,Si,Si,Si,No,No,Si,Si,Orientación legal,No
2022-08-14,Niña no acompañada,Mujer,1962-09-02,37,Filipinas,Estado3,Soltero/Soltera,Retornados,Si,No,Sin escolarizar,Garífona,2015-06-02,Si,No,No,Si,2016-01-02,Tenosoique,México,No,Si,No,No,No,Si,Si,Si,Si,Si,Ropa y calzado,No
2021-09-16,Niña acompañada,Mujer,2009-06-29,38,Filipinas,Estado1,Soltero/Soltera,Retornados,Si,No,Licenciatura,Criollo Haitiano,2019-11-29,Si,No,Si,No,2023-05-07,Chetumal,Regresar a mi país de origen,Si,No,Si,No,Si,No,Si,Si,Si,Si,Alimento,No
2021-12-11,Adolescente acompañado,Mujer,1976-06-04,18,Etiopía,Estado4,Separado/Separada,Refugiados,No,Si,Bachillerato Técnico,Frances,2021-02-04,Si,No,Si,Si,2015-04-15,Tabasco,Regresar a mi país de origen,No,Si,No,Si,Si,Si,Si,No,No,Si,Acceso a higiene (Regadera),No
2023-04-23,Adolescente acompañado,Mujer,1969-09-18,12,Laos,Estado4,Union Libre,Refugiados,Si,No,Preescolar,Criollo Haitiano,2023-04-10,Si,Si,Si,No,2019-10-23,Chiapas,México,No,Si,Si,Si,Si,No,No,No,No,Si,Acceso a higiene (Regadera),No
2023-12-15,Adolescente no acompañado,Hombre,1964-08-16,34,Arabia Saudita,Estado1,Divorciada / Divorciado,Retornados,No,No,Preescolar,Garífona,2017-07-24,No,No,No,Si,2015-12-11,Reynosa,Estados Unidos,Si,Si,Si,Si,Si,No,Si,Si,No,No,Canalización a servicios pricológicos,No
2021-10-27,Adolescente acompañado,Mujer,1964-01-26,43,Brunéi,Estado2,Separado/Separada,MPP,Si,No,Preescolar,Inglés,2023-08-28,No,No,Si,Si,2023-09-12,Tenosoique,México,Si,No,Si,No,No,No,Si,No,No,No,Alimento,No
2020-11-03,Adolescente no acompañado,Mujer,1993-03-03,21,Japón,Estado4,Divorciada / Divorciado,Refugiados,No,Si,Preescolar,Inglés,2021-12-30,No,Si,Si,No,2023-01-08,Tenosoique,Estados Unidos,No,No,No,Si,Si,Si,No,No,No,No,Orientación en búsqueda de empleo,No
2022-11-09,Adolescente acompañado,Hombre,2001-02-01,51,Islandia,Estado5,Separado/Separada,Desplazados Internos,No,Si,Sin escolarizar,Español,2023-03-21,No,Si,No,Si,2022-01-29,Veracruz,Estados Unidos,Si,No,Si,Si,Si,Si,No,Si,No,No,Orientación a servicios prisológicos,No
2021-01-15,Niña no acompañada,Hombre,1965-09-19,18,Bahamas,Estado4,Soltero/Soltera,Desplazados Internos,Si,No,Secundaria,Portuges,2016-05-30,Si,Si,Si,No,2018-02-04,Tabasco,Estados Unidos,No,No,No,Si,No,No,Si,Si,Si,No,Kit de higiene,No
2020-08-25,Adolescente no acompañado,Hombre,1991-07-23,24,Granada,Estado5,Viuda/Viudo,Tránsito,No,No,Bachillerato Técnico,Español,2021-12-11,Si,Si,No,No,2021-02-17,Tabasco,México,Si,No,No,No,No,No,Si,No,No,No,Orientación en el acceso a la educación,No
2022-04-17,Niño acompañado,Mujer,1970-06-12,49,Islandia,Estado1,Separado/Separada,Retornados,No,No,Primaria,Inglés,2022-12-31,No,No,Si,No,2016-06-26,Reynosa,México,No,No,No,No,Si,No,Si,No,Si,No,Kit de higiene,No
2023-05-29,Niño no acompañado,Hombre,1997-02-28,34,Angola,Estado1,Divorciada / Divorciado,MPP,Si,Si,Bachillerato Técnico,Garífona,2021-04-15,No,Si,No,No,2019-02-12,Tabasco,Estados Unidos,Si,No,Si,No,Si,Si,Si,No,No,Si,Alimento,No
2020-09-27,Adulto,Hombre,1992-07-26,14,Emiratos Árabes Unidos,Estado4,Divorciada / Divorciado,Tránsito,No,Si,Secundaria,Español,2016-07-18,No,No,No,Si,2017-12-14,Tapachula,Regresar a mi país de origen,No,Si,Si,Si,Si,Si,No,Si,No,No,Atención psicosocial,Si
2022-09-05,Adolescente acompañado,Hombre,1992-07-18,20,Albania,Estado3,Union Libre,Retornados,Si,Si,Preescolar,Criollo Haitiano,2018-12-10,No,No,No,Si,2020-04-08,Chiapas,Regresar a mi país de origen,No,No,Si,Si,Si,Si,No,Si,Si,Si,Asesoría legal,Si
2023-10-01,Niña acompañada,Mujer,1971-09-21,43,Etiopía,Estado5,Soltero/Soltera,Refugiados,No,No,Secundaria,Portuges,2016-09-16,No,Si,No,No,2022-11-06,Tapachula,Regresar a mi país de origen,Si,No,No,No,No,No,No,Si,Si,Si,Alimento,No
2023-06-12,Adolescente acompañado,Hombre,1962-12-01,33,Jamaica,Estado2,Divorciada / Divorciado,Desplazados Internos,Si,No,Preparatoria,Criollo Haitiano,2016-06-10,No,Si,No,Si,2023-08-28,Chetumal,Estados Unidos,Si,No,No,Si,No,Si,No,Si,Si,No,Atención psicosocial,No
2022-12-24,Niña acompañada,Mujer,1993-04-22,24,Bielorrusia,Estado4,Casado/Casada,MPP,No,No,Preparatoria,Portuges,2022-12-10,No,Si,Si,Si,2018-03-24,Chiapas,México,No,No,Si,Si,No,Si,No,No,No,Si,Alimento,No
2023-03-23,Niño no acompañado,Mujer,1966-10-08,47,Honduras,Estado2,Viuda/Viudo,Desplazados Internos,No,No,Sin escolarizar,Garífona,2019-09-21,No,Si,No,No,2016-08-28,Matamoros,Estados Unidos,No,No,No,Si,Si,No,Si,Si,No,Si,Orientación legal,Si
2021-08-28,Niño no acompañado,Hombre,1967-04-24,17,Bielorrusia,Estado4,Separado/Separada,Refugiados,No,No,Bachillerato Técnico,Español,2017-06-11,Si,Si,No,Si,2021-01-14,Chiapas,Regresar a mi país de origen,Si,No,Si,No,Si,Si,No,Si,Si,No,Orientación legal,No
2022-02-11,Niño no acompañado,Hombre,1979-06-13,14,Armenia,Estado3,Union Libre,Retornados,No,Si,Bachillerato Técnico,Portuges,2023-07-01,Si,Si,No,No,2016-02-10,Chiapas,México,Si,No,Si,Si,No,No,No,No,No,Si,Kit de higiene,No
2023-05-31,Niña acompañada,Mujer,1977-03-28,57,Islas Marshall,Estado3,Viuda/Viudo,Refugiados,Si,No,Primaria,Criollo Haitiano,2021-04-13,Si,No,No,Si,2023-08-03,Reynosa,Estados Unidos,Si,No,No,Si,Si,Si,Si,Si,Si,No,Ropa y calzado,No
2020-07-23,Adolescente acompañado,Hombre,2006-03-17,35,Eslovenia,Estado3,Soltero/Soltera,Refugiados,Si,No,Sin escolarizar,Español,2017-03-06,Si,No,Si,Si,2017-10-20,Tapachula,Estados Unidos,Si,Si,No,No,No,No,No,No,No,Si,Orientación en la búsqueda de vivienda,No
2022-03-30,Niño no acompañado,Hombre,1997-03-23,27,China,Estado3,Union Libre,Desplazados Internos,Si,No,Primaria,Español,2020-03-15,No,No,No,No,2019-01-14,Veracruz,Regresar a mi país de origen,Si,Si,Si,Si,No,Si,Si,Si,No,No,Ropa y calzado,No
2021-03-12,Niña no acompañada,Mujer,1979-12-08,15,Angola,Estado1,Separado/Separada,MPP,Si,Si,Preparatoria,Criollo Haitiano,2020-03-31,Si,No,Si,Si,2023-07-05,Reynosa,Estados Unidos,Si,No,No,No,No,No,No,No,No,Si,Kit de higiene,No
